Moral,Age,Duration(sec),Story
Honesty is the best policy,5,30,"Lily the Puppy's Big Mistake

Lily was a happy puppy who loved to play. One day, Lily knocked over a big vase. Uh oh! Lily felt scared. She hid the broken glass under her bed. 

Soon, Lily's owner came home. ""Lily, what happened?"" she asked. Lily felt very sad. ""I broke the vase,"" she said. Her owner hugged Lily and said, ""I'm proud you told the truth. Honesty is the best policy.""

Lily learned that being honest made her feel good inside.

Moral: Honesty is the best policy."
Teamwork,4,30,"Little Bunny lost his favorite red ball. He looked high and low, but could not find it. His friends Mouse and Bird saw Bunny's sad face. ""We can help you look!"" they said. 

The three friends worked together, searching every bush and tree. Finally, they found the ball stuck in a log. ""Yay!"" they cheered. With teamwork, they solved the problem.

Moral: Teamwork"
Honesty is the best policy,3,30,"The Boy and the Toy

A boy had a toy. The boy took the toy. The boy's mom said, ""Where is the toy?"" The boy said, ""I took it."" The mom said, ""Good boy."" The boy felt good. He did not hide. Honesty is the best policy.

Moral: Honesty is the best policy."
Teamwork,8,40,"The Big Race

It was the big race day! All the kids in the town were excited to run. Lily and her friend Tom were ready to race. 

""I want to win!"" said Lily.

""Me too!"" said Tom. 

The race began, and Lily and Tom ran as fast as they could. But soon, Lily started to feel tired. Tom saw this and slowed down to help Lily.

Together, they crossed the finish line. The crowd cheered! Lily and Tom had worked as a team to finish the race.

Moral: Teamwork"
Friend in need is friend indeed,6,30,"It was a sunny day. Little Bear saw his friend Bunny stuck in a tree. ""Help me!"" cried Bunny. Little Bear quickly ran over and pushed the tree. Bunny hopped down, safe and sound. ""Thank you, Little Bear!"" said Bunny. Little Bear smiled. He was happy to help his friend.

Moral: Friend in need is friend indeed."
forgiveness,7,30,"Lily was sad. Her best friend Tom had broken her new toy. ""I'm so mad!"" she cried. But then Lily saw the sad look on Tom's face. ""I'm sorry,"" he said. Lily thought for a moment. She remembered how much fun she and Tom had playing together. Lily gave Tom a big smile. ""It's okay,"" she said. ""Let's go play!""

Moral: forgiveness"
forgiveness,7,30,"Once upon a time, there were two cats named Whiskers and Mittens. Whiskers was a big, grumpy cat who didn't like to share his toys. Mittens was a small, kind cat who always wanted to play.

One day, Whiskers took Mittens' favorite ball and hid it. Mittens was very sad. But then Whiskers felt bad and gave the ball back. Mittens forgave Whiskers, and they became the best of friends.

Moral: forgiveness"
Responsibility,4,40,"It was a sunny day. Little Milo was playing in the park. He had a big red ball. Milo kicked the ball far away. 

""Oh no!"" said Milo. The ball rolled down the hill. Milo ran after it. 

Milo caught the ball, but it was dirty now. Milo felt bad. He took the ball back to the park and washed it clean.

""I'm so glad I got my ball back,"" said Milo. ""I will be more careful next time.""

Moral: Responsibility"
sharing is caring,7,30,"It was a sunny day in the park. Little Timmy was eating a big, juicy apple. His friend Lily walked by and looked sad. ""I'm hungry,"" Lily said. Timmy thought for a moment, then broke his apple in half. ""Here, you can have some,"" he said with a smile. Lily's face lit up. The two friends happily shared the sweet apple together. Moral: sharing is caring."
sharing is caring,7,30,"Once upon a time, there were two sisters named Lily and Rose. Lily had a new doll, and Rose wanted to play with it. Lily did not want to share. But then Lily saw how sad Rose felt. Lily decided to let Rose play with the doll too. The sisters had so much fun playing together.

Moral: sharing is caring."
Teamwork,6,40,"Lily the Puppy's Big Job

Lily the puppy had a big job to do. She had to move a big rock all by herself. Lily pushed and pushed, but the rock would not move. 

Then Lily's friends, Max the cat and Milo the bird, came to help. Together, they all pushed the rock. Finally, the rock moved! 

""Yay, we did it!"" Lily said. Max and Milo smiled. They were happy they worked as a team.

From that day on, Lily, Max, and Milo always worked together. They knew that teamwork helps get big jobs done.

Moral: Teamwork"
Tit for tat,7,30,"Tiny Squirrel was hungry. He found a big, red apple on the ground. ""Yum!"" said Squirrel, and he took a big bite.

But then Squirrel saw that the apple had a small bite in it already. ""Oh no, someone else ate this!"" frowned Squirrel.

He put the apple back down. Soon, Squirrel found his own fresh, juicy apple. He ate the whole thing happily.

Later, a little bird flew up to Squirrel. ""Can I have some of your food?"" asked the bird. Squirrel smiled and said, ""Of course!"" He shared his food with the bird.

Moral: Tit for tat."
Kindness,7,30,"Tommy was a kind boy. One day, he saw a small bird on the ground. The bird's wing was hurt. Tommy gently picked up the bird and took it home. He gave the bird food and water. The bird soon felt better. Tommy smiled, happy that he could help the little bird. 

Moral: Kindness"
Honesty is the best policy,6,40,"The Lost Toy

Lily was a little girl who loved her stuffed bear, Teddy. One day, Lily was playing in the park when Teddy fell out of her bag. ""Oh no!"" said Lily. ""I lost Teddy!""

Lily felt sad, but she knew she had to be honest. She told the park keeper, ""I lost my toy bear."" The kind keeper helped Lily look all over. After a while, they found Teddy! Lily gave the keeper a big smile. ""Thank you for helping me find my bear.""

From that day on, Lily always tried to be honest. She knew it was the right thing to do.

Moral: Honesty is the best policy."
Honesty is the best policy,6,40,"Little Lily was a kind girl who loved to help her family. One day, Lily broke her mom's favorite vase. She felt very bad. Lily could have lied, but she knew that would be wrong. So Lily told her mom the truth. 

At first, her mom was upset. But then she saw how sorry Lily felt. Her mom gave Lily a big hug and said, ""I'm proud of you for being honest."" From that day on, Lily always told the truth, even when it was hard.

Moral: Honesty is the best policy."
Patience,5,40,"Little Bunny was a busy rabbit. He hopped and jumped all day long. One day, Bunny saw a big, juicy carrot. ""Yum!"" he said. But the carrot was high up on a tree branch. 

Bunny tried to jump up and grab the carrot, but he couldn't reach it. He jumped and jumped, but the carrot stayed far away. Bunny felt sad and tired.

Then Bunny had an idea. He sat down and waited. Slowly, the wind blew, and the branch moved closer. Bunny waited patiently. When the carrot was low enough, he gently took a bite.

""Mmm, delicious!"" said Bunny. Moral: Patience"
equality,6,40,"The Flower Friends

Sara loved her garden. She had red roses, yellow sunflowers, and blue forget-me-nots. Sara's friend Lily came to visit. 

""Your flowers are so pretty!"" said Lily. ""I wish I had a garden like yours.""

Sara smiled. ""You can help me take care of them if you'd like.""

Lily's face lit up. The two girls worked together, watering the plants and pulling weeds. When they were done, the garden looked even more beautiful.

""We make a great team!"" said Sara.

Lily nodded. ""Yes, we do. Equality is the best.""

Moral: equality"
equality,6,40,"Lily was a little girl who loved to play. One day, she saw her friend Sam sitting alone on a bench. 

""Why are you sad, Sam?"" asked Lily.

""The other kids won't let me play with them,"" said Sam. ""They say I'm not good enough.""

Lily felt sad for her friend. She walked over and said, ""You can play with me! We're all the same, and everyone should have fun together.""

Sam's face lit up with a big smile. The two friends ran off to play, laughing and having a wonderful time. 

Moral: equality"
Honesty is the best policy,4,40,"The Lost Toy

Lily was a sweet little girl who loved to play. One day, Lily was in the park when she found a shiny new toy. ""Wow, this is so fun!"" she said. Lily put the toy in her bag and ran home.

When Lily got home, her mom asked, ""Where did you get that toy?"" Lily felt very sad. She said, ""I found it in the park."" Her mom gave her a big hug. ""I'm proud of you for telling the truth. Honesty is the best policy.""

From that day on, Lily always tried to be honest.

Moral: Honesty is the best policy."
Honesty is the best policy,4,40,"Once upon a time, there was a little girl named Lily. Lily loved to play hide-and-seek with her best friend, Daisy. One day, Lily hid behind a big tree and waited for Daisy to find her.

But Lily saw a shiny coin on the ground! She thought, ""I can keep this coin and Daisy will never know."" Lily quickly put the coin in her pocket.

When Daisy found Lily, Lily felt sad. She knew she had done something wrong. Lily told Daisy the truth about the coin. Daisy was proud of Lily for being honest.

From that day on, Lily always told the truth. She learned that honesty is the best policy.

Moral: Honesty is the best policy."
Honesty is the best policy,4,40,"Little Lily loved to draw. One day, she made a big, beautiful picture with red, blue, and yellow crayons. Lily's mom came in and said, ""Wow, Lily! That's a great picture. Did you make it all by yourself?"" 

Lily felt sad. She had used her big sister's favorite crayons without asking. Lily said, ""No, I used my sister's crayons."" Her mom gave her a big hug and said, ""I'm so proud of you for telling the truth!""

From that day on, Lily always told the truth. She learned that honesty makes you feel good inside.

Moral: Honesty is the best policy."
Teamwork,6,30,"Timmy and Tina were best friends. One day, they found a big box in the park. ""Let's open it!"" said Timmy. But the box was too heavy for one child to lift. 

Timmy and Tina pushed and pulled together. Slowly, the box opened. Inside was a cute puppy! The friends smiled and hugged the puppy. They were so happy they worked as a team.

Moral: Teamwork"
Friend in need is friend indeed,3,30,"Cat was lost. Dog saw Cat. Dog said, ""I can help you!"" Dog took Cat home. Cat said, ""Thank you, Dog!"" They were good friends.

One day, Dog fell in the mud. Cat said, ""I will help you!"" Cat got Dog out. Dog said, ""Thank you, Cat!"" They were still good friends.

Moral: Friend in need is friend indeed."
Teamwork,6,20,"Liam and Lily wanted to build a big sand castle. Liam dug the holes while Lily added the buckets of wet sand. They worked together until their castle was tall and strong. 

""Yay, we did it!"" they cheered.

Moral: Teamwork"
Jealousy,4,20,"Sally had a new red ball. Her friend Jill saw the ball and felt sad. ""I want that ball!"" said Jill. Sally did not want to share. But then Sally saw Jill's new bike. Sally felt bad for not sharing. They both played with the ball and bike together. 

Moral: Jealousy"
Kindness,6,30,"Little Lily was a kind girl. One day, she saw a small bird. The bird's wing was hurt. Lily got some food and water for the bird. She kept the bird safe in her room. Soon, the bird's wing healed. Lily let the bird fly free. The bird sang a happy song. Lily felt so good for helping the hurt bird. 

Moral: Kindness"
Kindness,7,40,"It was a cold, dark night. Little Liam saw a small bird sitting on the ground. The bird's wings were wet, and it was shivering. 

Liam ran inside and grabbed his warm scarf. He gently wrapped the scarf around the bird. The bird snuggled into the soft fabric, chirping happily.

Liam smiled, feeling warm inside. He had helped the cold bird. Liam's kind act made the bird feel better. 

The next day, Liam saw the same bird flying high in the bright blue sky. The bird sang a joyful song, as if to say ""thank you"" to Liam.

Moral: Kindness"
